nohup: ignoring input

===== Training representation=graph, n_qubits=2 =====
Epoch 035 | train_loss=0.460898 | val_loss=0.411050 | val_rmse=0.971070 | lr=1.00e-03
Epoch 036 | train_loss=0.457993 | val_loss=0.423625 | val_rmse=0.985812 | lr=1.00e-03
Epoch 037 | train_loss=0.456771 | val_loss=0.415060 | val_rmse=0.975795 | lr=1.00e-03
Epoch 038 | train_loss=0.452814 | val_loss=0.419481 | val_rmse=0.980978 | lr=1.00e-03
Epoch 039 | train_loss=0.452455 | val_loss=0.403996 | val_rmse=0.962702 | lr=1.00e-03
Epoch 040 | train_loss=0.443433 | val_loss=0.411146 | val_rmse=0.971183 | lr=1.00e-03
Epoch 041 | train_loss=0.443955 | val_loss=0.406024 | val_rmse=0.965115 | lr=1.00e-03
Epoch 042 | train_loss=0.445890 | val_loss=0.405304 | val_rmse=0.964259 | lr=1.00e-03
Epoch 043 | train_loss=0.442552 | val_loss=0.413592 | val_rmse=0.974068 | lr=1.00e-03
Epoch 044 | train_loss=0.439421 | val_loss=0.415575 | val_rmse=0.976401 | lr=1.00e-03
Epoch 045 | train_loss=0.439717 | val_loss=0.401065 | val_rmse=0.959203 | lr=1.00e-03
Epoch 046 | train_loss=0.432792 | val_loss=0.407931 | val_rmse=0.967378 | lr=1.00e-03
Epoch 047 | train_loss=0.433310 | val_loss=0.392596 | val_rmse=0.949021 | lr=1.00e-03
Epoch 048 | train_loss=0.440011 | val_loss=0.399876 | val_rmse=0.957780 | lr=1.00e-03
Epoch 049 | train_loss=0.428560 | val_loss=0.397977 | val_rmse=0.955503 | lr=1.00e-03
Epoch 050 | train_loss=0.431071 | val_loss=0.402606 | val_rmse=0.961044 | lr=1.00e-03
Epoch 051 | train_loss=0.428574 | val_loss=0.400781 | val_rmse=0.958863 | lr=1.00e-03
Epoch 052 | train_loss=0.426739 | val_loss=0.406774 | val_rmse=0.966005 | lr=1.00e-03
Epoch 053 | train_loss=0.420455 | val_loss=0.423226 | val_rmse=0.985348 | lr=5.00e-04
Epoch 054 | train_loss=0.407099 | val_loss=0.385251 | val_rmse=0.940102 | lr=5.00e-04
Epoch 055 | train_loss=0.403329 | val_loss=0.388259 | val_rmse=0.943765 | lr=5.00e-04
Epoch 056 | train_loss=0.403608 | val_loss=0.383385 | val_rmse=0.937823 | lr=5.00e-04
Epoch 057 | train_loss=0.404585 | val_loss=0.383636 | val_rmse=0.938129 | lr=5.00e-04
Epoch 058 | train_loss=0.402857 | val_loss=0.382252 | val_rmse=0.936436 | lr=5.00e-04
Epoch 059 | train_loss=0.404370 | val_loss=0.385463 | val_rmse=0.940360 | lr=5.00e-04
Epoch 060 | train_loss=0.396508 | val_loss=0.376755 | val_rmse=0.929678 | lr=5.00e-04
Epoch 061 | train_loss=0.394986 | val_loss=0.379465 | val_rmse=0.933016 | lr=5.00e-04
Epoch 062 | train_loss=0.390773 | val_loss=0.377232 | val_rmse=0.930267 | lr=5.00e-04
Epoch 063 | train_loss=0.391939 | val_loss=0.389826 | val_rmse=0.945668 | lr=5.00e-04
Epoch 064 | train_loss=0.395028 | val_loss=0.378966 | val_rmse=0.932402 | lr=5.00e-04
